year,mileage,tax,mpg,engineSize,price
2015,31563,125,54.3,1.2,7400
2015,17499,0,78.5,1.5,7390
2015,39742,0,68.9,1.6,9995
2015,24202,200,47.1,2,16372
2015,36523,145,54.3,2,14499
2015,26000,145,55.4,2,11995
2015,32454,20,67.3,2,15498
2015,43116,20,67.3,2,14998
2015,38106,20,61.4,1,7250
2015,42254,20,62.8,2.1,14799
2015,75358,200,39.2,2.1,19689
2015,24984,0,70.6,1.8,15791
2015,54349,125,58.9,2,9899
2015,18102,0,72.4,1.8,13492
2015,13000,125,54.3,1.2,7695
2015,38000,125,60.1,2.1,15995
2015,47360,165,44.1,1.6,7250
2015,51271,145,47.1,2,14995
2015,48899,20,60.1,1.2,6490
2015,29022,20,62.8,1,8650
2015,41000,0,72.4,1.8,13000
2015,49838,125,55.4,2.1,16499
2015,33430,0,66,1,6890
2015,40265,20,60.1,1.2,7595
2015,60362,30,62.8,2,13898
2015,24786,0,67.3,1,6195
2015,54157,165,48.7,2,13650
2015,72283,145,54.3,3,18495
2015,55220,30,64.2,2,16995
2015,45112,0,88.3,1.5,6998
2015,66445,20,62.8,1,7350
2015,28958,20,61.4,1,6698
2015,63372,0,74.3,1.6,8998
2015,73227,125,52.3,2,12299
2015,32659,20,67.3,2,12695
2015,46365,160,49.6,2,11645
2015,46007,20,67.3,2,13000
2015,4627,125,54.3,1.2,7495
2015,15155,30,57.7,1.2,4810
2015,59886,160,44.1,1.8,15750
2015,25869,0,67.3,1,6495
2015,35921,30,65.7,2,13495
2015,50467,125,58.9,2,11295
2015,27986,125,57.7,2.2,14995
2015,33515,30,61.4,1.5,7998
2015,15796,0,86,1.5,11295
2015,47610,30,56.5,2,10700
2015,42624,20,68.9,2.1,12199
2015,36198,150,49.6,1.2,6995
2015,58199,30,64.2,1.5,9499
2015,35064,20,60.1,1.2,7991
2015,31000,125,54.3,1.2,7499
2015,49142,125,54.3,1.2,7000
2015,63117,0,74.3,1.5,8160
2015,24190,20,62.8,1,7489
2015,37601,160,49.6,2,11790
2015,25233,0,78.5,1.5,7791
2015,62624,30,62.8,2,13990
2015,21591,165,49.6,2,17291
2015,18644,20,62.8,1,6995
2015,46223,30,53.3,1.4,10498
2015,59200,0,74.3,1.6,9695
2015,17515,20,62.8,1,5600
2015,26000,30,61.4,2,12790
2015,14521,20,60.1,1.2,8291
2015,37000,145,54.3,2,13495
2015,46731,20,60.1,1,6495
2015,37081,30,56.5,1.4,11230
2015,39588,0,74.3,1.5,8497
2015,77000,0,74.3,1.5,6295
2015,70000,20,62.8,2.1,13970
2015,35553,20,65.7,2.1,14900
2015,19300,145,47.9,1.4,15998
2015,24352,20,68.9,2.1,18199
2015,37643,0,72.4,1.8,12450
2015,31978,20,64.2,2.1,15490
2015,37377,0,74.4,1.5,7499
2015,55978,30,61.4,2.1,16999
2015,39502,30,58.9,1.4,11295
2015,23081,0,67.3,1,11998
2015,31168,30,57.7,1.2,5500
2015,63000,30,54.3,1.2,4690
2015,56282,0,68.9,1.6,9750
2015,32803,125,60.1,2,9490
2015,84521,30,62.8,2.1,11479
2015,37657,0,67.3,1.6,7900
2015,113000,20,70.6,2.1,9793
2015,19470,0,67.3,2,13800
2015,124000,20,70.6,1.5,8491
2015,43000,205,42.8,2,16450
2015,33539,0,74.3,1.5,8798
2015,50178,145,54.3,1.6,9995
2015,108000,20,70.6,2.1,9392
2015,90000,20,65.7,2.1,9791
2015,34398,20,61.4,1,7995
2015,82195,0,70.6,1.8,12000
2015,64000,30,64.2,1.5,7999
2015,42201,20,60.1,1,5796
2015,32040,0,70.6,1.8,14750
2015,129000,20,68.9,2.1,10791
2015,66825,0,74.3,1.5,7468
2015,11900,125,54.3,1.2,6750
2015,48378,160,44.8,1.4,12890
2015,32000,20,60.1,1,9200
2015,21430,165,49.6,2,17999
2015,38317,125,53.3,1.2,6495
2015,67000,200,47.7,2,10995
2015,27438,0,57.7,1,9599
2015,21074,0,65.7,1,7498
2015,43793,125,61.4,2,14298
2015,38106,20,61.4,1,7250
2015,64221,0,68.9,1.6,8950
2015,24305,20,62.8,1,8798
2015,49610,300,34.9,2.5,24699
2015,42492,20,65.7,2.1,13999
2015,27792,20,61.4,1,7990
2015,47560,145,47.9,1.6,7250
2015,18984,160,49.6,2,16290
2015,78533,0,74.3,1.5,7000
2015,34000,145,47.1,1.4,6700
2015,15546,20,64.2,2.1,16199
2015,49468,20,64.2,2.1,14370
2015,51762,160,48.7,2,12700
2015,22304,30,54.3,1,9100
2015,29423,125,54.3,1.2,6300
2015,66486,20,67.3,2,10200
2015,58682,165,48.7,2,12990
2015,51364,20,68.9,2.1,14270
2015,48861,125,60.1,2,9999
2015,46817,0,76.4,1.8,13450
2015,25401,20,62.8,1,5290
2015,25332,20,68.9,2,9878
2015,13437,30,64.2,2.1,11499
2015,51950,20,62.8,1,7489
2015,42730,0,78.6,1.4,7295
2015,20012,30,53.3,1.4,11495
2015,43872,30,55,1.3,7990
2015,26937,0,65.7,1,8250
2015,81540,20,68.9,2,7795
2015,30292,165,44.8,1.6,9500
2015,28200,30,54.3,1.2,7695
2015,120000,20,65.7,2.1,11493
2015,138000,20,68.9,2.1,7792
2015,50000,20,60.1,1.2,6399
2015,19000,0,72.4,1.8,14995
2015,43509,205,40.9,2,20749
2015,49542,125,60.1,2,8500
2015,28000,0,65.7,1,7688
2015,74933,125,60.1,2,11030
2015,44325,125,60.1,2,9950
2015,81423,30,64.2,2.1,15970
2015,20028,145,47.9,1.6,10250
2015,49969,125,52.3,1.4,12991
2015,34500,0,74.3,1.8,12795
2015,56162,0,83.1,1.4,6359
2015,40451,160,48.7,2,13990
2015,71668,0,74.3,1.6,8169
2015,23117,125,55.4,2.1,17399
2015,49711,145,52.3,2,13660
2015,48484,30,65.7,2,9799
2015,150000,20,68.9,2.1,8692
2015,23420,125,53.3,1,8200
2015,77352,30,64.2,2,14995
2015,29426,20,60.1,1.2,6990
2015,26308,145,56.5,2,15798
2015,52258,0,78.5,1.4,7389
2015,36228,30,53.3,1.4,10995
2015,8711,200,42.2,1.4,10495
2015,113000,20,70.6,2.1,9793
2015,75000,0,80.7,1.6,7775
2015,49327,20,60.1,1,8000
2015,41195,20,62.8,1,5243
2015,29174,0,65.7,1,8290
2015,24199,125,60.1,2,12399
2015,94027,30,62.8,2,9599
2015,25409,125,54.3,1.2,6698
2015,42157,0,80.7,1.6,11491
2015,32948,150,47.9,1.6,9495
2015,40000,200,47.7,2,11995
2015,90000,20,65.7,2.1,9791
2015,110000,125,60.1,2.1,10991
2015,129000,20,68.9,2.1,10791
2015,94000,20,68.9,2.1,11591
2015,94000,20,68.9,2.1,11591
2015,13946,0,74.3,1.5,9999
2015,42819,0,65.7,1,6750
2015,74176,0,74.3,1.5,7099
2015,24329,0,78.5,1.5,7599
2015,58543,20,70.6,2,9495
2015,124000,20,70.6,1.5,8491
2015,33567,125,60.1,2,11399
2015,62248,20,68.9,2,8795
2015,55952,0,74.3,1.5,7700
2015,50116,0,65.7,1,6541
2015,18537,235,38.2,1.5,14699
2015,26664,0,74.3,1.5,8599
2015,45045,0,74.3,1.5,9199
2015,35446,145,54.3,2,13995
2015,22500,125,52.3,1,7995
2015,41198,0,65.7,1,6995
2015,42819,0,65.7,1,6750
2015,33440,165,44.1,1.6,7598
2015,42121,30,56.5,1.4,10491
2015,42042,20,72.4,1.6,8210
2015,32235,30,64.2,2,16995
2015,94000,20,70.6,2.1,10491
2015,35416,125,54.3,1.2,6800
2015,24125,125,52.3,1,8298
2015,30236,125,54.3,1.2,7495
2015,35592,20,64.2,2.1,16679
2015,50408,200,39.2,2.1,19940
2015,34000,125,54.3,1.2,5500
2015,19562,0,65.7,1,7342
2015,69037,0,76.4,2.1,14699
2015,84443,0,78.5,1.5,8099
2015,47341,20,61.4,1,6765
2015,63187,145,55.4,2,12995
2015,35000,30,61.4,2,12000
2015,37555,30,61.4,2,8999
2015,29200,145,54.3,2,11495
2015,21539,20,64.2,2.1,16199
2015,85887,30,64.2,1.6,7499
2015,75306,30,64.2,2.1,13854
2015,63813,125,51.4,1.2,9250
2015,28957,125,55.4,2.1,16998
2015,63305,125,54.3,1.2,5995
2015,20300,20,58.9,1,8999
2015,97745,30,60.1,2,7291
2015,46780,20,67.3,2,11998
2015,72000,165,44.8,1.6,6499
2015,44000,125,60.1,2,10199
2015,31867,20,60.1,1.2,8995
2015,40988,565,29.1,5.5,27985
2015,43426,30,53.3,1.4,11295
2015,25461,0,72.4,1.8,13200
2015,12455,20,62.8,1,6892
2015,32500,205,47.1,2,15790
2015,44823,0,65.7,1,6990
2015,85957,20,70.6,2,7750
2015,41495,20,67.3,2,13990
2015,36000,165,44.8,1.6,8495
2015,38833,20,61.4,1,6865
2015,4088,30,53.3,1.4,11998
2015,38622,30,57.7,1.2,4500
2015,42073,125,55.4,2.1,15999
2015,59558,30,62.8,2.1,14499
2015,57718,0,74.3,1.6,8599
2015,41755,150,53.3,2,14995
2015,65285,20,67.3,2,16350
2015,39000,20,60.1,1,7250
2015,37000,30,61.4,2.1,16500
2015,30530,30,64.2,2,14990
2015,41015,0,67.3,1,10498
2015,40659,125,56.5,2.1,16799
2015,38148,20,58.9,1.2,7995
2015,77000,20,70.6,1.5,10995
2015,49531,145,49.6,2,13995
2015,15977,20,60.1,1.2,9241
2015,33702,200,39.8,2,17698
2015,35455,30,58.9,1.4,12490
2015,39388,30,53.3,1.4,10498
2015,68600,20,68.9,2.1,12490
2015,27097,0,74.3,1.5,10000
2015,42324,0,88.3,1.5,7299
2015,33055,20,62.8,1,5965
2015,54349,30,60.1,1.8,10999
2015,51338,125,60.1,2,9450
2015,19227,20,70.6,2.1,14599
2015,65000,125,60.1,2,9690
2015,9827,0,65.7,1,8795
2015,32166,205,47.1,2,15991
2015,42180,200,47.9,2,18798
2015,48558,30,53.3,1.4,8998
2015,20274,200,47.9,2,20498
2015,55000,30,57.7,1.2,3990
2015,58000,0,65.7,1,5490
2015,20920,150,47.9,1.6,8990
2015,29164,125,54.3,1.2,6197
2015,16670,20,62.8,1,7940
2015,27000,20,62.8,1,5499
2015,30797,125,54.3,1.2,6298
2015,61443,20,70.6,1.6,9990
2015,40170,30,57.6,1.4,9898
2015,45500,20,67.3,2,12798
2015,27727,20,67.3,2,15495
2015,30000,165,44.8,1.6,7795
2015,43919,20,61.4,1,7600
2015,36078,30,61.4,2,12990
2015,52686,165,49.6,2,11995
2015,10172,20,60.1,1,8998
2015,63000,20,68.9,2.1,11440
2015,56272,0,72.4,1.8,10995
2015,40975,30,61.4,1.5,7498
2015,28051,145,49.6,1.6,13959
2015,40185,0,78,1.5,10890
2015,53844,20,60.1,1,6495
2015,40373,0,70.6,1.5,11499
2015,12050,30,64.2,2.1,20000
2015,15837,30,58.9,1.4,12298
2015,53646,235,42.8,3,23450
2015,48429,20,62.8,1,5602
2015,61994,200,47.7,2,11450
2015,68225,140,53.3,2,8500
2015,70804,125,60.1,2.1,12800
2015,11000,30,55,1.3,10690
2015,33917,20,60.1,1,9000
2015,18000,145,52.3,2,13990
2015,76215,0,78.5,1.5,8494
2015,14929,0,74.3,1.5,10899
2015,31221,165,48.7,2,10495
2015,42133,0,70.6,1.8,14850
2015,31375,150,53.3,2,11250
2015,12864,30,57.7,1.2,4950
2015,34517,20,62.8,1,4699
2015,55259,125,60.1,2,14498
2015,30125,0,65.7,1,7899
2015,21182,20,68.9,1.5,8950
2015,5322,30,58.9,1.4,14298
2015,27042,20,62.8,1,5690
2015,63439,20,67.3,2,12495
2015,36895,0,76.4,1.5,6698
2015,61904,0,74.3,1.5,7998
2015,57311,30,54.3,1.2,5498
2015,27969,0,86,1.5,10790
2015,27095,0,65.7,1,8700
2015,47988,0,72.4,1.8,12000
2015,47527,150,55.4,2,13297
2015,44086,125,60.1,2.1,16395
2015,48194,20,70.6,1.6,11390
2015,32884,125,60.1,2,9498
2015,38881,20,62.8,1,6395
2015,15548,0,65.7,1,8750
2015,49585,0,76.3,2,7899
2015,53844,20,60.1,1,6494
2015,42112,20,61.4,1,7500
2015,82535,0,74.3,2,7495
2015,95008,125,56.5,2.1,12437
2015,43393,20,67.3,2,11995
2015,43211,145,52.3,2,11295
2015,41270,20,62.8,2.1,15299
2015,40700,125,54.3,1.2,6199
2015,38244,145,49.6,1.4,17995
2015,93370,0,76.3,2,5500
2015,41830,0,78,1.5,10290
2015,43417,160,50.4,2,18990
2015,19511,20,64.2,2.1,15175
2015,17139,20,60.1,1.2,7990
2015,30231,125,60.1,2,16000
2015,56000,0,76.4,1.8,10995
2015,26407,200,47.9,3,31995
2015,19936,20,60.1,1.2,7090
2015,47528,145,54.3,2,10999
2015,67060,20,68.9,2.1,11500
2015,82732,125,50.4,1.6,13940
2015,74166,20,67.3,2,12990
2015,22369,20,68.9,1.5,12900
2015,23153,20,72.4,1.6,9600
2015,15083,30,58,1.3,9495
2015,47218,0,74.3,1.4,7965
2015,41392,160,45.6,1.5,12960
2015,31737,0,65.7,1,7499
2015,35125,30,64.2,2.1,16700
2015,52671,20,67.3,1.6,7590
2015,38928,20,58.9,1.2,9400
2015,46752,0,70.6,1.8,13490
2015,23266,0,74.4,1.5,8499
2015,52900,125,60.1,2,9000
2015,44893,125,54.3,1.2,7099
2015,78798,125,57.7,2,9299
2015,41295,0,78.5,1.5,7549
2015,28952,125,55.4,2.1,17000
2015,42687,150,54.3,3,17888
2015,42459,145,55.4,2,9290
2015,39004,30,64.2,2.1,18700
2015,38967,125,58.9,2,18598
2015,32800,165,49.6,2,10480
2015,42571,125,53.3,1.4,6750
2015,22328,0,65.7,1,8499
2015,26501,160,44.8,1.6,12900
2015,52816,20,67.3,1.5,8299
2015,44500,0,72.4,1.8,11891
2015,47000,125,56.5,2.1,17499
2015,18263,125,52.3,2,16000
2015,39170,20,58.8,1.2,7695
2015,51558,20,67.3,2.1,15197
2015,86388,30,64.2,2,8999
2015,20825,145,47.9,1.4,19995
2015,34278,30,62.8,2.1,14999
2015,33785,0,74.3,1.6,8520
2015,45000,0,65.7,1,7995
2015,35315,30,53.3,1.4,10698
2015,47474,0,78.5,1.8,11790
2015,48025,30,55.4,1,6999
2015,20042,30,57.6,1.4,12995
2015,5839,145,54.3,2,14750
2015,41554,0,76.3,2,7600
2015,29110,20,68.9,1.5,8750
2015,41385,125,54.3,1.2,6995
2015,9793,30,64.2,1.6,18999
2015,55223,145,55.4,2,9495
2015,11033,30,58.9,1.4,10499
2015,54000,0,76.4,1.5,5998
2015,55422,125,53.3,1,7430
2015,16794,200,39.8,2,18440
2015,18209,0,65.7,1,7995
2015,49476,30,53.3,1.4,9698
2015,28527,20,68.9,1.6,11995
2015,40253,20,60.1,1,8000
2015,35381,30,53.3,1.4,10298
2015,30009,165,48.7,2,13995
2015,26311,0,78.5,1.5,7499
2015,13510,125,56.5,2.1,20999
2015,44225,20,67.3,2,13998
2015,60120,165,46.3,1.2,7995
2015,30373,160,44.8,1.5,7590
2015,73991,30,65.7,2,8470
2015,39000,160,48.7,2,11795
2015,12586,0,134.5,2,19100
2015,67917,20,68.9,2.1,13799
2015,53719,125,51.4,1.2,9370
2015,44787,125,54.3,1.2,6597
2015,41319,20,67.3,2,14998
2015,40909,0,65.7,1,7799
2015,34241,200,43.5,1.5,12812
2015,27035,20,62.8,1,8991
2015,31291,20,60.1,1.2,8999
2015,36671,160,46.3,1.2,9500
2015,38041,30,64.2,2,12490
2015,45009,20,67.3,2,14898
2015,57237,0,74.3,1.6,7450
2015,17799,145,47.9,1.2,10700
2015,75960,235,42.8,3,22498
2015,32424,200,47.1,2,19998
2015,34320,20,70.6,1.5,12200
2015,41664,200,47.7,2,11985
2015,32000,30,56.5,1.4,11795
2015,23915,20,68.9,2.1,14200
2015,15260,30,58,1.3,9995
2015,18591,30,53.3,1.4,11498
2015,65902,0,83.1,1.4,6580
2015,80208,160,44.8,1.6,6995
2015,38000,260,35.8,2,16990
2015,64539,20,67.3,2.1,13999
2015,63600,30,65.7,2,6795
2015,25996,145,70.6,2.1,12999
2015,22017,300,32.8,2,15500
2015,39726,30,53.3,1.4,10298
2015,14487,30,53.3,1.4,12689
2015,32712,20,65.7,2.1,14500
2015,26956,20,68.9,2.1,14000
2015,32754,125,53.3,1.2,6200
2015,43480,0,74.3,1.6,8990
2015,31565,125,51.4,1.2,11345
2015,76160,0,67.3,1.6,6040
2015,36078,30,61.4,2.1,15700
2015,82446,0,74.3,1.5,6250
2015,41758,0,88.3,1.5,7610
2015,42030,160,48.7,2,12799
2015,42043,200,41.5,2,11499
2015,47290,20,70.6,1.5,10900
2015,37110,125,54.3,1.2,6840
2015,36755,0,76.4,1.8,11750
2015,109880,125,58.9,2,8000
2015,20000,125,53.3,1.2,7791
2015,62370,145,53.3,2,13395
2015,71558,0,67.3,1.6,6280
2015,29000,235,38.2,1.5,14990
2015,15676,20,60.1,1.2,7160
2015,31580,125,60.1,2,14495
2015,51937,0,76.3,2,9000
2015,38131,30,62.8,2.1,17500
2015,34905,0,78.5,1.8,12490
2015,39692,145,53.3,3,17248
2015,33730,20,68.9,2.1,14099
2015,52990,125,60.1,2,9600
2015,35752,0,65.7,1,7249
2015,23408,20,60.1,1.2,9390
2015,23070,145,53.3,2,10499
2015,60912,0,74.3,1.5,8299
2015,27372,0,65.7,1,7900
2015,28662,0,72.4,1.8,12095
2015,15066,0,76.4,1.8,13500
2015,14100,0,65.7,1,8000
2015,19812,125,51.4,1.6,15499
2015,85236,20,68.9,1.6,7295
2015,46628,20,67.3,2,12638
2015,38500,30,65.7,2.1,10000
2015,62903,0,74.3,1.5,6995
2015,55287,160,49.6,2,13999
2015,85000,30,62.8,2.1,12980
2015,21747,125,54.3,1.2,7497
2015,56288,160,49.6,2,13399
2015,39912,0,76.4,1.8,10998
2015,33843,30,53.3,1.4,11198
2015,45588,20,60.1,1,9362
2015,51208,30,64.2,2.1,13495
2015,28985,160,44.8,1.5,8997
2015,30788,30,53.3,1.4,8998
2015,20450,125,51.4,1.2,9998
2015,48870,200,48.7,2,9995
2015,57512,0,68.9,1.6,8498
2015,21939,0,65.7,1,7999
2015,23659,30,55.4,1,9250
2015,72361,205,44.8,2,10495
2015,24421,160,43.5,1.5,14950
2015,72637,160,51.4,2,10899
2015,70980,125,56.5,2.1,14491
2015,30901,30,54.3,1.2,6997
2015,52368,0,72.4,1.8,10998
2015,30983,20,58.9,1.2,9495
2015,52997,200,47.1,2,13799
2015,19913,0,65.7,1,7250
2015,29701,125,57.7,2.1,15691
2015,45526,160,49.6,2,15490
2015,35938,20,61.4,1,8682
2015,78791,20,70.6,1.6,5795
2015,43417,200,39.8,2,16998
2015,39074,160,52.3,2,8799
2015,46026,30,53.3,1.4,9998
2015,42000,125,51.4,1.2,11500
2015,34601,20,58.8,1.2,6999
2015,45362,20,64.2,1,6500
2015,36612,20,60.1,1.2,7995
2015,19805,125,51.4,1.2,11995
2015,51244,205,39.8,2,16995
2015,19000,20,58.8,1,7550
2015,31695,160,51.4,2,18298
2015,82000,125,58.9,2,8990
2015,30367,200,41.5,2,13999
2015,25697,20,60.1,1.2,7879
2015,28607,20,62.8,1,6995
2015,44788,125,53.3,1.4,6798
2015,30605,125,53.3,1.2,5695
2015,36070,20,60.1,1.2,6995
2015,30973,0,76.4,1.8,12295
2015,41733,330,29.4,4,41750
2015,53530,150,53.3,2,9990
2015,32258,20,67.3,2,13749
2015,39518,125,56.5,2.1,17375
2015,77086,0,74.3,1.6,7790
2015,41667,145,48.7,1.8,12995
2015,31117,0,65.7,1,8799
2015,46923,0,65.7,1,7299
2015,31433,125,53.3,1,7599
2015,49163,0,78.5,1.5,9599
2015,30552,30,56.5,1.4,10998
2015,62015,0,74.3,1.6,8498
2015,35254,0,78.6,1.4,7290
2015,20018,20,60.1,1,9495
2015,20445,160,44.8,1.6,9450
2015,39775,125,55.4,2.1,15999
2015,60904,205,47.9,2,9614
2015,62439,150,53.3,2.1,10700
2015,42810,0,68.9,1.6,8480
2015,36000,125,52.3,1.4,6795
2015,39669,145,53.3,2,10990
2015,47612,0,76.4,1.5,6999
2015,45003,125,56.5,2,14450
2015,25473,165,51.4,2,12495
2015,69043,0,65.7,1,5980
2015,77719,160,51.4,3,19991
2015,24600,20,67.3,1.6,7995
2015,38152,200,44.8,2,12995
2015,33358,30,54.3,1.2,7499
2015,22499,30,64.2,2.1,18999
2015,77251,125,60.1,2,9540
2015,41781,125,58.9,2,15798
2015,53845,125,56.5,2.1,15799
2015,31500,125,52.3,1.2,10995
2015,36643,125,53.3,2,14298
2015,29903,30,62.8,2,8498
2015,80083,150,52.3,2,11500
2015,39578,30,62.8,2.1,13400
2015,78329,30,61.4,1.6,6140
2015,31779,160,44.8,1.5,7490
2015,25297,20,62.8,1,6210
2015,14024,30,53.3,1.4,9500
2015,48650,205,47.7,2,11850
2015,115613,125,58.9,1.6,6499
2015,28129,125,60.1,2,16498
2015,29000,30,61.4,1.6,7975
2015,20927,0,65.7,1,8291
2015,61200,200,44.8,2,10195
2015,29520,125,55.4,2.1,17299
2015,77892,30,56.5,1.4,9498
2015,18380,125,54.3,1.2,7759
2015,45363,0,74.3,1.5,7499
2015,53042,0,72.4,1.8,10995
2015,100000,125,56.5,2,8793
2015,38876,0,70.6,1.8,13000
2015,39964,0,78.5,1.8,12495
2015,39655,20,67.3,1.5,10990
2015,33821,160,44.8,1.6,9791
2015,16754,0,65.7,1,8549
2015,41699,20,67.3,2,13499
2015,14782,20,62.8,1,9369
2015,40684,145,54.3,2,12142
2015,35361,200,48.7,3,19230
2015,11313,0,76.4,1.8,14498
2015,60000,125,56.5,2,9490
2015,80059,145,49.6,1.2,4738
2015,58223,235,39.8,2,14180
2015,66088,20,67.3,2,12998
2015,32000,0,57.7,1,7500
2015,29987,260,36.2,2,18995
2015,28977,200,47.1,2,21995
2015,27938,20,68.9,2.1,14000
2015,30891,30,64.2,2.1,18500
2015,32288,30,64.2,2,17000
2015,25128,125,54.3,1.2,7695
2015,100000,125,56.5,2,8793
2015,62462,160,48.7,2,12296
2015,52080,0,65.7,1,6990
2015,64835,125,56.5,2,10399
2015,56546,0,74.3,2.1,17699
2015,32397,125,56.5,2.1,18399
2015,13212,570,23.7,5.5,48400
2015,8052,325,31.7,4.7,32249
2015,53789,125,56.5,2.1,16499
2015,35520,260,41.5,3,23998
2015,14757,145,55.4,1,8491
2015,137000,150,53.3,2,7493
2015,37737,20,67.3,2,11999
2015,69261,20,68.9,2.1,13799
2015,13000,30,53.3,1.4,11495
2015,43341,0,65.7,1,7520
2015,29053,20,64.2,2.1,14999
2015,32065,30,55.4,1.4,13995
2015,29000,150,55.4,2,9495
2015,61491,20,60.1,1,7899
2015,54965,125,55.4,2.1,15599
2015,31624,200,39.8,2,18295
2015,29229,30,61.4,1.6,8295
2015,26521,145,53.3,2,13500
2015,49997,0,65.7,1,7399
2015,40366,200,42.8,2,16499
2015,51962,200,47.9,2,17498
2015,53279,20,64.2,2.1,14695
2015,42588,125,52.3,1.2,9225
2015,88650,125,60.1,2,9295
2015,66532,20,67.3,1.6,7995
2015,49166,125,60.1,2,13390
2015,43105,0,72.4,1.8,11498
2015,21900,165,45.6,2,15495
2015,8200,0,70.6,1.8,15995
2015,62018,165,51.4,2,11490
2015,58680,0,74.3,1.8,10698
2015,101480,30,61.4,2.1,12795
2015,55346,30,57.7,1.2,4498
2015,30714,30,62.8,2,13580
2015,38000,30,64.2,2,12995
2015,39056,200,47.9,2,19698
2015,38430,145,56.5,2,14298
2015,36500,125,58.9,2,14995
2015,55500,0,68.9,1.6,9450
2015,18737,0,80.7,1.4,7995
2015,29811,20,68.9,2,13295
2015,36860,145,56.5,2.1,14995
2015,70610,20,72.4,1.5,10500
2015,8066,125,53.3,1.2,7230
2015,21309,125,54.3,1.2,6970
2015,20907,20,60.1,1,9300
2015,13964,0,65.7,1,8499
2015,45300,125,58.9,2,13995
2015,43287,0,74.3,1.5,7798
2015,48000,0,74.3,1.5,8699
2015,21432,0,72.4,1.8,12890
2015,21432,0,72.4,1.8,12490
2015,36833,125,56.5,2.1,18000
2015,23000,200,47.7,2,11990
2015,69344,20,61.4,1,7450
2015,40599,20,68.9,2.1,13300
2015,49942,30,57.7,1.2,4450
2015,28367,0,65.7,1,7691
2015,26540,205,40.4,2,19995
2015,37217,125,53.3,1.2,5805
2015,35229,145,49.6,2,18000
2015,27455,0,74.3,1.5,9491
2015,60231,125,60.1,2,10999
2015,47000,145,53.3,2,12900
2015,42650,125,60.1,2,12995
2015,15810,30,65.7,1.6,10995
2015,12896,125,51.4,1.3,8998
2015,30022,20,60.1,1,5995
2015,57306,0,68.9,1,4788
2015,50147,145,55.4,2.1,15900
2015,21101,20,60.1,1.2,9297
2015,43451,0,72.4,1.8,11498
2015,53172,30,61.4,1.6,6495
2015,21147,145,46.3,1.5,10699
2015,63267,30,55.4,1.4,7795
2015,63254,165,51.4,2,10690
2015,36964,30,61.4,2,13998
2015,26811,30,58.9,1.4,12798
2015,67125,20,67.3,2,11998
2015,50920,0,76.4,1.8,12250
2015,44074,0,76.4,1.5,7449
2015,41200,20,61.4,1,9499
2015,38167,20,62.8,2.1,18700
2015,25014,145,54.3,2,14950
2015,71000,145,53.3,2,9995
2015,34414,200,42.8,2,19600
2015,37026,145,49.6,1.8,15489
2015,27500,235,38.2,1.5,15995
2015,29129,145,53.3,2,12000
2015,24663,160,48.7,2,15898
2015,28039,200,47.9,2,10550
2015,34075,125,58.9,2.1,15700
2015,19380,20,67.3,2.1,16600
2015,32971,20,68.9,2.1,13480
2015,30718,0,72.4,1.8,12995
2015,60813,0,65.7,1,6298
2015,45837,125,54.3,1.2,7999
2015,28100,200,47.1,2,14300
2015,61730,0,65.7,1,6999
2015,41944,30,62.8,2,13950
2015,73197,20,68.9,2,10990
2015,42752,30,57.6,1,6766
2015,32544,145,54.3,2,13998
2015,6456,20,60.1,1.2,10590
2015,78058,30,65.7,2.1,10354
2015,38307,150,53.3,2,11600
2015,12000,145,47.9,1.6,9750
2015,58268,30,53.3,1.4,8495
2015,28187,125,53.3,1.2,7190
2015,43543,0,78.5,1.5,8800
2015,33203,0,76.4,1.8,12495
2015,38441,0,76.4,1.8,10888
2015,44500,125,53.3,1.2,5991
2015,24698,125,53.3,1.2,6620
2015,24000,200,40.4,2,20990
2015,17819,165,49.6,2,14600
2015,25166,150,53.3,2,11691
2015,11768,30,57.6,1,8350
2015,43101,190,48.7,2,12000
2015,33301,0,76.4,1.8,12495
2015,9154,20,60.1,1.2,9849
2015,40319,125,56.6,2.1,15999
2015,22148,200,40.4,2,15888
2015,38952,125,57.6,2,16998
2015,42000,30,54.3,1.2,6395
2015,31303,125,51.4,1.2,11250
2015,45416,125,51.4,1.6,10999
2015,47100,0,72.4,1.8,12495
2015,33492,30,56.5,1.4,10580
2015,30837,160,50.4,2,17998
2015,67795,30,64.2,2.1,12499
2015,35977,125,53.3,2,13599
2015,40902,125,60.1,2,11990
2015,55221,150,53.3,2,8999
2015,36730,20,60.1,1.2,7695
2015,26747,0,74.3,1.6,9300
2015,59255,0,88.3,1.5,7995
2015,21807,30,57.6,1.4,12995
2015,27430,30,58.9,1.4,12989
2015,36103,20,68.9,2.1,15499
2015,21587,20,60.1,1.2,8395
2015,31500,30,57.6,1.4,11995
2015,24314,125,56.6,2.1,17999
2015,24632,200,40.9,2,24499
2015,93300,30,64.2,2,7995
2015,53500,145,53.3,2,12990
2015,32407,165,44.8,1.6,8662
2015,36626,0,65.7,1,7670
2015,50062,30,57.6,1.2,14995
2015,20712,0,65.7,1,8450
2015,73127,30,64.2,2.1,14899
2015,41000,20,65.7,2.1,13699
2015,52539,30,55.4,1.4,11250
2015,24002,30,54.3,1.2,7799
2015,25301,20,72.4,1.5,12999
2015,26300,0,80.7,1.6,10598
